element,symbol
Ac,Ac
Ag,Ag
Al,Al
Am,Am
Ar,Ar
As,As
At,At
Au,Au
B,B
Be,Be
Bi,Bi
Br,Br
C,C
Cd,Cd
Ce,Ce
Cf,Cf
Cl,Cl
Cm,Cm
Co,Co
Cr,Cr
Cu,Cu
Dy,Dy
Er,Er
Eu,Eu
F,F
Fe,Fe
Ga,Ga
Gd,Gd
Ge,Ge
H,H
He,He
Hf,Hf
Hg,Hg
Ho,Ho
I,I
In,In
Ir,Ir
Kr,Kr
La,La
Li,Li
Lu,Lu
Mg,Mg
Mn,Mn
Mo,Mo
N,N
Na,Na
Nd,Nd
Ne,Ne
Ni,Ni
Np,Np
O,O
Os,Os
P,P
Pa,Pa
Pb,Pb
Pd,Pd
Pm,Pm
Po,Po
Pr,Pr
Pt,Pt
Pu,Pu
Re,Re
Rh,Rh
Rn,Rn
Ru,Ru
S,S
Sb,Sb
Sc,Sc
Se,Se
Si,Si
Sm,Sm
Sn,Sn
Ta,Ta
Tb,Tb
Tc,Tc
Te,Te
Th,Th
Ti,Ti
Tl,Tl
Tm,Tm
U,U
V,V
W,W
Xe,Xe
Yb,Yb
Zn,Zn
