material_id  formula  band_gap  symmetry
mp-720216  Ca3Y9Al18CrSiO48  0.5981999999999998  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1046697  CrSiO5  0.5381  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cc' number=9 point_group='m' symprec=0.1 version='2.0.2'
mp-558986  CaMn6SiO12  0.5927000000000002  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4_1/acd' number=142 point_group='4/mmm' symprec=0.1 version='2.0.2'
mp-2714391  Na2Mg2SiSn2S5O24  0.5030000000000001  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1036730  Mg30SiSnO32  0.5617999999999999  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/mmm' number=123 point_group='4/mmm' symprec=0.1 version='2.0.2'
mp-2714230  Na2Mg4SiGe4S11O48  0.5554000000000001  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-2714233  Na2Mg4SiSn4S11O48  0.5614999999999997  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-805388  LiFeSiO4  0.5118  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Pc' number=7 point_group='m' symprec=0.1 version='2.0.2'
mp-1265992  ZnCrSiO5  0.5385999999999997  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P-1' number=2 point_group='-1' symprec=0.1 version='2.0.2'
mp-554498  SiO2  0.5029000000000001  crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P622' number=177 point_group='622' symprec=0.1 version='2.0.2'
mp-1210331  Na2PrSiO5  0.5707000000000002  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='2.0.2'
mp-2712920  MgSiSn3S5O24  0.5127000000000002  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1189398  KUSiO7  0.536  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1' number=4 point_group='2' symprec=0.1 version='2.0.2'
mp-755733  Li2MnSiO5  0.5558000000000001  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/nmm' number=129 point_group='4/mmm' symprec=0.1 version='2.0.2'
mp-758206  Fe35SiO48  0.5619000000000001  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cm' number=8 point_group='m' symprec=0.1 version='2.0.2'
mp-2712557  NaYSiGe(SO6)2  0.5490999999999999  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cc' number=9 point_group='m' symprec=0.1 version='2.0.2'
mp-1034271  Mg14SiSnO16  0.5737999999999985  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/mmm' number=123 point_group='4/mmm' symprec=0.1 version='2.0.2'
mp-743965  SiH12N2(O2F3)2  0.5504  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 version='2.0.2'
mp-1034860  Mg14ZnSiO16  0.5541000000000009  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmmm' number=47 point_group='mmm' symprec=0.1 version='2.0.2'
mp-2714334  Na2Ca2SiSn2S5O24  0.5984  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1041877  ZnSi2WO6  0.5735999999999999  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pbca' number=61 point_group='mmm' symprec=0.1 version='2.0.2'
mp-760971  Li3Fe2(SiO4)2  0.5579000000000001  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Pc' number=7 point_group='m' symprec=0.1 version='2.0.2'
mp-760462  Li5Ti(SiO4)2  0.5455000000000005  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2' number=5 point_group='2' symprec=0.1 version='2.0.2'
mp-541023  CaFe3Si2HO9  0.5066999999999999  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='2.0.2'
mp-861554  Li5Mn(SiO4)2  0.5485999999999999  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2' number=5 point_group='2' symprec=0.1 version='2.0.2'
mp-1198051  K2Al2Si2O9  0.5306000000000001  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='P2_12_12_1' number=19 point_group='222' symprec=0.1 version='2.0.2'
mp-1197843  Ca5(SiO5)2  0.5149  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='2.0.2'
mp-752894  Li3Co2(SiO4)2  0.5112000000000001  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2' number=5 point_group='2' symprec=0.1 version='2.0.2'
mp-1256235  Al4V13Si2(SbO14)2  0.5661000000000005  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P-1' number=2 point_group='-1' symprec=0.1 version='2.0.2'
mp-560675  K6Cu(SiO4)2  0.5214999999999999  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P-1' number=2 point_group='-1' symprec=0.1 version='2.0.2'
